,Government Debt
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Central Bank of Sri Lanka
Status,Active
Series ID,375564947 (LFSDACIAAAAABA)
SR Code,SR97857427
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/06/2014
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,1165085.9766679662
Variance,312538631119.7575
Standard Deviation,559051.546031095
Skewness,0.775298416438752
Kurtosis,-0.90970761776682
Coefficient Variation,0.47983715985487063
Min,552427.4936776669
Max,2207380.6582953846
Median,973577.3092613154
Sum,
Subtract,
No. of Obs,561
01/06/2014,552427.493677667
01/13/2014,552427.493677667
01/20/2014,552427.493677667
01/27/2014,552427.493677667
02/03/2014,552427.493677667
02/10/2014,552427.493677667
02/17/2014,552427.493677667
02/24/2014,552427.493677667
03/03/2014,552427.493677667
03/10/2014,552427.493677667
03/17/2014,552427.493677667
03/24/2014,552427.493677667
03/31/2014,552427.493677667
04/07/2014,564713.963046316
04/14/2014,564713.963046316
04/21/2014,564713.963046316
04/28/2014,564713.963046316
05/05/2014,564713.963046316
05/12/2014,564713.963046316
05/19/2014,564713.963046316
05/26/2014,564713.963046316
06/02/2014,564713.963046316
06/09/2014,564713.963046316
06/16/2014,564713.963046316
06/23/2014,564713.963046316
06/30/2014,564713.963046316
07/07/2014,566834.782349696
07/14/2014,566834.782349696
07/21/2014,566834.782349696
07/28/2014,566834.782349696
08/04/2014,566834.782349696
08/11/2014,566834.782349696
08/18/2014,566834.782349696
08/25/2014,566834.782349696
09/01/2014,566834.782349696
09/08/2014,566834.782349696
09/15/2014,566834.782349696
09/22/2014,566834.782349696
09/29/2014,566834.782349696
10/06/2014,575912.436103422
10/13/2014,575912.436103422
10/20/2014,575912.436103422
10/27/2014,575912.436103422
11/03/2014,575912.436103422
11/10/2014,575912.436103422
11/17/2014,575912.436103422
11/24/2014,575912.436103422
12/01/2014,575912.436103422
12/08/2014,575912.436103422
12/15/2014,575912.436103422
12/22/2014,575912.436103422
12/29/2014,575912.436103422
01/05/2015,589084.730079938
01/12/2015,589084.730079938
01/19/2015,589084.730079938
01/26/2015,589084.730079938
02/02/2015,589084.730079938
02/09/2015,589084.730079938
02/16/2015,589084.730079938
02/23/2015,589084.730079938
03/02/2015,589084.730079938
03/09/2015,589084.730079938
03/16/2015,589084.730079938
03/23/2015,589084.730079938
03/30/2015,589084.730079938
04/06/2015,610573.779232694
04/13/2015,610573.779232694
04/20/2015,610573.779232694
04/27/2015,610573.779232694
05/04/2015,610573.779232694
05/11/2015,610573.779232694
05/18/2015,610573.779232694
05/25/2015,610573.779232694
06/01/2015,610573.779232694
06/08/2015,610573.779232694
06/15/2015,610573.779232694
06/22/2015,610573.779232694
06/29/2015,610573.779232694
07/06/2015,636642.384615385
07/13/2015,636642.384615385
07/20/2015,636642.384615385
07/27/2015,636642.384615385
08/03/2015,636642.384615385
08/10/2015,636642.384615385
08/17/2015,636642.384615385
08/24/2015,636642.384615385
08/31/2015,636642.384615385
09/07/2015,636642.384615385
09/14/2015,636642.384615385
09/21/2015,636642.384615385
09/28/2015,636642.384615385
10/05/2015,661476.166706762
10/12/2015,661476.166706762
10/19/2015,661476.166706762
10/26/2015,661476.166706762
11/02/2015,661476.166706762
11/09/2015,661476.166706762
11/16/2015,661476.166706762
11/23/2015,661476.166706762
11/30/2015,661476.166706762
12/07/2015,661476.166706762
12/14/2015,661476.166706762
12/21/2015,661476.166706762
12/28/2015,661476.166706762
01/04/2016,675184.543715196
01/11/2016,675184.543715196
01/18/2016,675184.543715196
01/25/2016,675184.543715196
02/01/2016,675184.543715196
02/08/2016,675184.543715196
02/15/2016,675184.543715196
02/22/2016,675184.543715196
02/29/2016,675184.543715196
03/07/2016,675184.543715196
03/14/2016,675184.543715196
03/21/2016,675184.543715196
03/28/2016,675184.543715196
04/04/2016,697049.397494755
04/11/2016,697049.397494755
04/18/2016,697049.397494755
04/25/2016,697049.397494755
05/02/2016,697049.397494755
05/09/2016,697049.397494755
05/16/2016,697049.397494755
05/23/2016,697049.397494755
05/30/2016,697049.397494755
06/06/2016,697049.397494755
06/13/2016,697049.397494755
06/20/2016,697049.397494755
06/27/2016,697049.397494755
07/04/2016,723184.502049327
07/11/2016,723184.502049327
07/18/2016,723184.502049327
07/25/2016,723184.502049327
08/01/2016,723184.502049327
08/08/2016,723184.502049327
08/15/2016,723184.502049327
08/22/2016,723184.502049327
08/29/2016,723184.502049327
09/05/2016,723184.502049327
09/12/2016,723184.502049327
09/19/2016,723184.502049327
09/26/2016,723184.502049327
10/03/2016,729143.781673242
10/10/2016,729143.781673242
10/17/2016,729143.781673242
10/24/2016,729143.781673242
10/31/2016,729143.781673242
11/07/2016,729143.781673242
11/14/2016,729143.781673242
11/21/2016,729143.781673242
11/28/2016,729143.781673242
12/05/2016,729143.781673242
12/12/2016,729143.781673242
12/19/2016,729143.781673242
12/26/2016,729143.781673242
01/02/2017,748937.901669605
01/09/2017,748937.901669605
01/16/2017,748937.901669605
01/23/2017,748937.901669605
01/30/2017,748937.901669605
02/06/2017,748937.901669605
02/13/2017,748937.901669605
02/20/2017,748937.901669605
02/27/2017,748937.901669605
03/06/2017,748937.901669605
03/13/2017,748937.901669605
03/20/2017,748937.901669605
03/27/2017,748937.901669605
04/03/2017,781835.971304246
04/10/2017,781835.971304246
04/17/2017,781835.971304246
04/24/2017,781835.971304246
05/01/2017,781835.971304246
05/08/2017,781835.971304246
05/15/2017,781835.971304246
05/22/2017,781835.971304246
05/29/2017,781835.971304246
06/05/2017,781835.971304246
06/12/2017,781835.971304246
06/19/2017,781835.971304246
06/26/2017,781835.971304246
07/03/2017,789933.832289462
07/10/2017,789933.832289462
07/17/2017,789933.832289462
07/24/2017,789933.832289462
07/31/2017,789933.832289462
08/07/2017,789933.832289462
08/14/2017,789933.832289462
08/21/2017,789933.832289462
08/28/2017,789933.832289462
09/04/2017,789933.832289462
09/11/2017,789933.832289462
09/18/2017,789933.832289462
09/25/2017,789933.832289462
10/02/2017,798679.417053777
10/09/2017,798679.417053777
10/16/2017,798679.417053777
10/23/2017,798679.417053777
10/30/2017,798679.417053777
11/06/2017,798679.417053777
11/13/2017,798679.417053777
11/20/2017,798679.417053777
11/27/2017,798679.417053777
12/04/2017,798679.417053777
12/11/2017,798679.417053777
12/18/2017,798679.417053777
12/25/2017,798679.417053777
01/01/2018,819546.023985369
01/08/2018,819546.023985369
01/15/2018,819546.023985369
01/22/2018,819546.023985369
01/29/2018,819546.023985369
02/05/2018,819546.023985369
02/12/2018,819546.023985369
02/19/2018,819546.023985369
02/26/2018,819546.023985369
03/05/2018,819546.023985369
03/12/2018,819546.023985369
03/19/2018,819546.023985369
03/26/2018,819546.023985369
04/02/2018,845726.797063439
04/09/2018,845726.797063439
04/16/2018,845726.797063439
04/23/2018,845726.797063439
04/30/2018,845726.797063439
05/07/2018,845726.797063439
05/14/2018,845726.797063439
05/21/2018,845726.797063439
05/28/2018,845726.797063439
06/04/2018,845726.797063439
06/11/2018,845726.797063439
06/18/2018,845726.797063439
06/25/2018,845726.797063439
07/02/2018,867029.904502592
07/09/2018,867029.904502592
07/16/2018,867029.904502592
07/23/2018,867029.904502592
07/30/2018,867029.904502592
08/06/2018,867029.904502592
08/13/2018,867029.904502592
08/20/2018,867029.904502592
08/27/2018,867029.904502592
09/03/2018,867029.904502592
09/10/2018,867029.904502592
09/17/2018,867029.904502592
09/24/2018,867029.904502592
10/01/2018,859324.832689343
10/08/2018,859324.832689343
10/15/2018,859324.832689343
10/22/2018,859324.832689343
10/29/2018,859324.832689343
11/05/2018,859324.832689343
11/12/2018,859324.832689343
11/19/2018,859324.832689343
11/26/2018,859324.832689343
12/03/2018,859324.832689343
12/10/2018,859324.832689343
12/17/2018,859324.832689343
12/24/2018,859324.832689343
12/31/2018,859324.832689343
01/07/2019,1027331.4678048
01/14/2019,1027331.4678048
01/21/2019,1027331.4678048
01/28/2019,1027331.4678048
02/04/2019,1027331.4678048
02/11/2019,1027331.4678048
02/18/2019,1027331.4678048
02/25/2019,1027331.4678048
03/04/2019,1027331.4678048
03/11/2019,1027331.4678048
03/18/2019,1027331.4678048
03/25/2019,1027331.4678048
04/01/2019,973577.309261315
04/08/2019,973577.309261315
04/15/2019,973577.309261315
04/22/2019,973577.309261315
04/29/2019,973577.309261315
05/06/2019,973577.309261315
05/13/2019,973577.309261315
05/20/2019,973577.309261315
05/27/2019,973577.309261315
06/03/2019,973577.309261315
06/10/2019,973577.309261315
06/17/2019,973577.309261315
06/24/2019,973577.309261315
07/01/2019,923674.892656286
07/08/2019,923674.892656286
07/15/2019,923674.892656286
07/22/2019,923674.892656286
07/29/2019,923674.892656286
08/05/2019,923674.892656286
08/12/2019,923674.892656286
08/19/2019,923674.892656286
08/26/2019,923674.892656286
09/02/2019,923674.892656286
09/09/2019,923674.892656286
09/16/2019,923674.892656286
09/23/2019,923674.892656286
09/30/2019,923674.892656286
10/07/2019,1002426.38654062
10/14/2019,1002426.38654062
10/21/2019,1002426.38654062
10/28/2019,1002426.38654062
11/04/2019,1002426.38654062
11/11/2019,1002426.38654062
11/18/2019,1002426.38654062
11/25/2019,1002426.38654062
12/02/2019,1002426.38654062
12/09/2019,1002426.38654062
12/16/2019,1002426.38654062
12/23/2019,1002426.38654062
12/30/2019,1002426.38654062
01/06/2020,1059186.30438568
01/13/2020,1059186.30438568
01/20/2020,1059186.30438568
01/27/2020,1059186.30438568
02/03/2020,1059186.30438568
02/10/2020,1059186.30438568
02/17/2020,1059186.30438568
02/24/2020,1059186.30438568
03/02/2020,1059186.30438568
03/09/2020,1059186.30438568
03/16/2020,1059186.30438568
03/23/2020,1059186.30438568
03/30/2020,1059186.30438568
04/06/2020,1080939.97687963
04/13/2020,1080939.97687963
04/20/2020,1080939.97687963
04/27/2020,1080939.97687963
05/04/2020,1080939.97687963
05/11/2020,1080939.97687963
05/18/2020,1080939.97687963
05/25/2020,1080939.97687963
06/01/2020,1080939.97687963
06/08/2020,1080939.97687963
06/15/2020,1080939.97687963
06/22/2020,1080939.97687963
06/29/2020,1080939.97687963
07/06/2020,1113008.0168811
07/13/2020,1113008.0168811
07/20/2020,1113008.0168811
07/27/2020,1113008.0168811
08/03/2020,1113008.0168811
08/10/2020,1113008.0168811
08/17/2020,1113008.0168811
08/24/2020,1113008.0168811
08/31/2020,1113008.0168811
09/07/2020,1113008.0168811
09/14/2020,1113008.0168811
09/21/2020,1113008.0168811
09/28/2020,1113008.0168811
10/05/2020,1162865.15203842
10/12/2020,1162865.15203842
10/19/2020,1162865.15203842
10/26/2020,1162865.15203842
11/02/2020,1162865.15203842
11/09/2020,1162865.15203842
11/16/2020,1162865.15203842
11/23/2020,1162865.15203842
11/30/2020,1162865.15203842
12/07/2020,1162865.15203842
12/14/2020,1162865.15203842
12/21/2020,1162865.15203842
12/28/2020,1162865.15203842
01/04/2021,1234907.97627668
01/11/2021,1234907.97627668
01/18/2021,1234907.97627668
01/25/2021,1234907.97627668
02/01/2021,1234907.97627668
02/08/2021,1234907.97627668
02/15/2021,1234907.97627668
02/22/2021,1234907.97627668
03/01/2021,1234907.97627668
03/08/2021,1234907.97627668
03/15/2021,1234907.97627668
03/22/2021,1234907.97627668
03/29/2021,1234907.97627668
04/05/2021,1274193.87996476
04/12/2021,1274193.87996476
04/19/2021,1274193.87996476
04/26/2021,1274193.87996476
05/03/2021,1274193.87996476
05/10/2021,1274193.87996476
05/17/2021,1274193.87996476
05/24/2021,1274193.87996476
05/31/2021,1274193.87996476
06/07/2021,1274193.87996476
06/14/2021,1274193.87996476
06/21/2021,1274193.87996476
06/28/2021,1274193.87996476
07/05/2021,1311672.04299899
07/12/2021,1311672.04299899
07/19/2021,1311672.04299899
07/26/2021,1311672.04299899
08/02/2021,1311672.04299899
08/09/2021,1311672.04299899
08/16/2021,1311672.04299899
08/23/2021,1311672.04299899
08/30/2021,1311672.04299899
09/06/2021,1311672.04299899
09/13/2021,1311672.04299899
09/20/2021,1311672.04299899
09/27/2021,1311672.04299899
10/04/2021,1354937.01403816
10/11/2021,1354937.01403816
10/18/2021,1354937.01403816
10/25/2021,1354937.01403816
11/01/2021,1354937.01403816
11/08/2021,1354937.01403816
11/15/2021,1354937.01403816
11/22/2021,1354937.01403816
11/29/2021,1354937.01403816
12/06/2021,1354937.01403816
12/13/2021,1354937.01403816
12/20/2021,1354937.01403816
12/27/2021,1354937.01403816
01/03/2022,1668972.61428996
01/10/2022,1668972.61428996
01/17/2022,1668972.61428996
01/24/2022,1668972.61428996
01/31/2022,1668972.61428996
02/07/2022,1668972.61428996
02/14/2022,1668972.61428996
02/21/2022,1668972.61428996
02/28/2022,1668972.61428996
03/07/2022,1668972.61428996
03/14/2022,1668972.61428996
03/21/2022,1668972.61428996
03/28/2022,1668972.61428996
04/04/2022,1866492.26104432
04/11/2022,1866492.26104432
04/18/2022,1866492.26104432
04/25/2022,1866492.26104432
05/02/2022,1866492.26104432
05/09/2022,1866492.26104432
05/16/2022,1866492.26104432
05/23/2022,1866492.26104432
05/30/2022,1866492.26104432
06/06/2022,1866492.26104432
06/13/2022,1866492.26104432
06/20/2022,1866492.26104432
06/27/2022,1866492.26104432
07/04/2022,1918915.74606744
07/11/2022,1918915.74606744
07/18/2022,1918915.74606744
07/25/2022,1918915.74606744
08/01/2022,1918915.74606744
08/08/2022,1918915.74606744
08/15/2022,1918915.74606744
08/22/2022,1918915.74606744
08/29/2022,1918915.74606744
09/05/2022,1918915.74606744
09/12/2022,1918915.74606744
09/19/2022,1918915.74606744
09/26/2022,1918915.74606744
10/03/2022,2114771.60367122
10/10/2022,2114771.60367122
10/17/2022,2114771.60367122
10/24/2022,2114771.60367122
10/31/2022,2114771.60367122
11/07/2022,2114771.60367122
11/14/2022,2114771.60367122
11/21/2022,2114771.60367122
11/28/2022,2114771.60367122
12/05/2022,2114771.60367122
12/12/2022,2114771.60367122
12/19/2022,2114771.60367122
12/26/2022,2114771.60367122
01/02/2023,2080752.83855693
01/09/2023,2080752.83855693
01/16/2023,2080752.83855693
01/23/2023,2080752.83855693
01/30/2023,2080752.83855693
02/06/2023,2080752.83855693
02/13/2023,2080752.83855693
02/20/2023,2080752.83855693
02/27/2023,2080752.83855693
03/06/2023,2080752.83855693
03/13/2023,2080752.83855693
03/20/2023,2080752.83855693
03/27/2023,2080752.83855693
04/03/2023,2070478.96414584
04/10/2023,2070478.96414584
04/17/2023,2070478.96414584
04/24/2023,2070478.96414584
05/01/2023,2070478.96414584
05/08/2023,2070478.96414584
05/15/2023,2070478.96414584
05/22/2023,2070478.96414584
05/29/2023,2070478.96414584
06/05/2023,2070478.96414584
06/12/2023,2070478.96414584
06/19/2023,2070478.96414584
06/26/2023,2070478.96414584
07/03/2023,2155385.38093171
07/10/2023,2155385.38093171
07/17/2023,2155385.38093171
07/24/2023,2155385.38093171
07/31/2023,2155385.38093171
08/07/2023,2155385.38093171
08/14/2023,2155385.38093171
08/21/2023,2155385.38093171
08/28/2023,2155385.38093171
09/04/2023,2155385.38093171
09/11/2023,2155385.38093171
09/18/2023,2155385.38093171
09/25/2023,2155385.38093171
10/02/2023,2207380.65829538
10/09/2023,2207380.65829538
10/16/2023,2207380.65829538
10/23/2023,2207380.65829538
10/30/2023,2207380.65829538
11/06/2023,2207380.65829538
11/13/2023,2207380.65829538
11/20/2023,2207380.65829538
11/27/2023,2207380.65829538
12/04/2023,2207380.65829538
12/11/2023,2207380.65829538
12/18/2023,2207380.65829538
12/25/2023,2207380.65829538
01/01/2024,2146295.18833718
01/08/2024,2146295.18833718
01/15/2024,2146295.18833718
01/22/2024,2146295.18833718
01/29/2024,2146295.18833718
02/05/2024,2146295.18833718
02/12/2024,2146295.18833718
02/19/2024,2146295.18833718
02/26/2024,2146295.18833718
03/04/2024,2146295.18833718
03/11/2024,2146295.18833718
03/18/2024,2146295.18833718
03/25/2024,2146295.18833718
04/01/2024,2180354.10427225
04/08/2024,2180354.10427225
04/15/2024,2180354.10427225
04/22/2024,2180354.10427225
04/29/2024,2180354.10427225
05/06/2024,2180354.10427225
05/13/2024,2180354.10427225
05/20/2024,2180354.10427225
05/27/2024,2180354.10427225
06/03/2024,2180354.10427225
06/10/2024,2180354.10427225
06/17/2024,2180354.10427225
06/24/2024,2180354.10427225
07/01/2024,2041046.65606119
07/08/2024,2041046.65606119
07/15/2024,2041046.65606119
07/22/2024,2041046.65606119
07/29/2024,2041046.65606119
08/05/2024,2041046.65606119
08/12/2024,2041046.65606119
08/19/2024,2041046.65606119
08/26/2024,2041046.65606119
09/02/2024,2041046.65606119
09/09/2024,2041046.65606119
09/16/2024,2041046.65606119
09/23/2024,2041046.65606119
09/30/2024,2041046.65606119