,Port Congestion: Calls: Colombo: Container Ships
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,Marine Traffic
Status,Active
Series ID,505129727
SR Code,SR200228977
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/31/2022
Last Obs. Date,01/13/2025
Last Update Time,21/01/2025
Series remarks,
Suggestions,
Mean,67.6
Variance,131.17662337662335
Standard Deviation,11.453236371289268
Skewness,-2.609488384391261
Kurtosis,12.042906709906292
Coefficient Variation,0.16942657353978208
Min,6
Max,89
Median,68
Sum,10478
Subtract,-83
No. of Obs,155
01/31/2022,7
02/07/2022,13
02/14/2022,6
02/21/2022,73
02/28/2022,55
03/07/2022,76
03/14/2022,68
03/21/2022,58
03/28/2022,56
04/04/2022,64
04/11/2022,59
04/18/2022,61
04/25/2022,68
05/02/2022,60
05/09/2022,47
05/16/2022,65
05/23/2022,54
05/30/2022,50
06/06/2022,62
06/13/2022,67
06/20/2022,57
06/27/2022,67
07/04/2022,65
07/11/2022,53
07/18/2022,61
07/25/2022,55
08/01/2022,60
08/08/2022,69
08/15/2022,58
08/22/2022,63
08/29/2022,57
09/05/2022,65
09/12/2022,65
09/19/2022,56
09/26/2022,65
10/03/2022,68
10/10/2022,68
10/17/2022,78
10/24/2022,60
10/31/2022,59
11/07/2022,74
11/14/2022,68
11/21/2022,67
11/28/2022,76
12/05/2022,70
12/12/2022,69
12/19/2022,69
12/26/2022,71
01/02/2023,64
01/09/2023,66
01/16/2023,73
01/23/2023,72
01/30/2023,75
02/06/2023,81
02/13/2023,69
02/20/2023,71
02/27/2023,79
03/06/2023,67
03/13/2023,62
03/20/2023,75
03/27/2023,62
04/03/2023,72
04/10/2023,67
04/17/2023,76
04/24/2023,66
05/01/2023,77
05/08/2023,79
05/15/2023,84
05/22/2023,77
05/29/2023,67
06/05/2023,76
06/12/2023,82
06/19/2023,72
06/26/2023,79
07/03/2023,76
07/10/2023,87
07/17/2023,70
07/24/2023,68
07/31/2023,76
08/07/2023,83
08/14/2023,71
08/21/2023,77
08/28/2023,79
09/04/2023,73
09/11/2023,72
09/18/2023,77
09/25/2023,78
10/02/2023,65
10/09/2023,77
10/16/2023,79
10/23/2023,68
10/30/2023,68
11/06/2023,65
11/13/2023,70
11/20/2023,64
11/27/2023,69
12/04/2023,67
12/11/2023,69
12/18/2023,72
12/25/2023,74
01/01/2024,71
01/08/2024,74
01/15/2024,78
01/22/2024,75
01/29/2024,75
02/05/2024,71
02/12/2024,76
02/19/2024,71
02/26/2024,78
03/04/2024,69
03/11/2024,73
03/18/2024,70
03/25/2024,77
04/01/2024,71
04/08/2024,64
04/15/2024,76
04/22/2024,62
04/29/2024,68
05/06/2024,60
05/13/2024,60
05/20/2024,59
05/27/2024,78
06/03/2024,68
06/10/2024,65
06/17/2024,55
06/24/2024,58
07/01/2024,68
07/08/2024,58
07/15/2024,68
07/22/2024,59
07/29/2024,58
08/05/2024,65
08/12/2024,58
08/19/2024,66
08/26/2024,68
09/02/2024,67
09/09/2024,71
09/16/2024,66
09/23/2024,72
09/30/2024,74
10/07/2024,70
10/14/2024,85
10/21/2024,68
10/28/2024,61
11/04/2024,81
11/11/2024,74
11/18/2024,69
11/25/2024,64
12/02/2024,73
12/09/2024,89
12/16/2024,69
12/23/2024,77
12/30/2024,50
01/06/2025,78
01/13/2025,84