,Port Congestion: Port Stay Duration: Colombo: All
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Day
Source,Marine Traffic
Status,Active
Series ID,505271257
SR Code,SR200229367
Trade Code,
Mnemonic,
Function Description,"AGGREGATE(Quarterly; March, June, September, December; Sum; No) > DISAGGREGATE(Weekly; Sunday; Distribute)"
First Obs. Date,01/03/2022
Last Obs. Date,12/30/2024
Last Update Time,21/01/2025
Series remarks,
Suggestions,
Mean,0.9388535031847135
Variance,0.015349212481133098
Standard Deviation,0.12389193872537914
Skewness,0.43112135421119857
Kurtosis,-1.55827840671734
Coefficient Variation,0.13196088453110258
Min,0.8076923076923077
Max,1.1384615384615384
Median,0.8384615384615386
Sum,
Subtract,
No. of Obs,157
01/03/2022,0.80769230769231
01/10/2022,0.80769230769231
01/17/2022,0.80769230769231
01/24/2022,0.80769230769231
01/31/2022,0.80769230769231
02/07/2022,0.80769230769231
02/14/2022,0.80769230769231
02/21/2022,0.80769230769231
02/28/2022,0.80769230769231
03/07/2022,0.80769230769231
03/14/2022,0.80769230769231
03/21/2022,0.80769230769231
03/28/2022,0.80769230769231
04/04/2022,1.07692307692308
04/11/2022,1.07692307692308
04/18/2022,1.07692307692308
04/25/2022,1.07692307692308
05/02/2022,1.07692307692308
05/09/2022,1.07692307692308
05/16/2022,1.07692307692308
05/23/2022,1.07692307692308
05/30/2022,1.07692307692308
06/06/2022,1.07692307692308
06/13/2022,1.07692307692308
06/20/2022,1.07692307692308
06/27/2022,1.07692307692308
07/04/2022,0.87692307692308
07/11/2022,0.87692307692308
07/18/2022,0.87692307692308
07/25/2022,0.87692307692308
08/01/2022,0.87692307692308
08/08/2022,0.87692307692308
08/15/2022,0.87692307692308
08/22/2022,0.87692307692308
08/29/2022,0.87692307692308
09/05/2022,0.87692307692308
09/12/2022,0.87692307692308
09/19/2022,0.87692307692308
09/26/2022,0.87692307692308
10/03/2022,0.80769230769231
10/10/2022,0.80769230769231
10/17/2022,0.80769230769231
10/24/2022,0.80769230769231
10/31/2022,0.80769230769231
11/07/2022,0.80769230769231
11/14/2022,0.80769230769231
11/21/2022,0.80769230769231
11/28/2022,0.80769230769231
12/05/2022,0.80769230769231
12/12/2022,0.80769230769231
12/19/2022,0.80769230769231
12/26/2022,0.80769230769231
01/02/2023,0.83076923076923
01/09/2023,0.83076923076923
01/16/2023,0.83076923076923
01/23/2023,0.83076923076923
01/30/2023,0.83076923076923
02/06/2023,0.83076923076923
02/13/2023,0.83076923076923
02/20/2023,0.83076923076923
02/27/2023,0.83076923076923
03/06/2023,0.83076923076923
03/13/2023,0.83076923076923
03/20/2023,0.83076923076923
03/27/2023,0.83076923076923
04/03/2023,0.86923076923077
04/10/2023,0.86923076923077
04/17/2023,0.86923076923077
04/24/2023,0.86923076923077
05/01/2023,0.86923076923077
05/08/2023,0.86923076923077
05/15/2023,0.86923076923077
05/22/2023,0.86923076923077
05/29/2023,0.86923076923077
06/05/2023,0.86923076923077
06/12/2023,0.86923076923077
06/19/2023,0.86923076923077
06/26/2023,0.86923076923077
07/03/2023,0.83846153846154
07/10/2023,0.83846153846154
07/17/2023,0.83846153846154
07/24/2023,0.83846153846154
07/31/2023,0.83846153846154
08/07/2023,0.83846153846154
08/14/2023,0.83846153846154
08/21/2023,0.83846153846154
08/28/2023,0.83846153846154
09/04/2023,0.83846153846154
09/11/2023,0.83846153846154
09/18/2023,0.83846153846154
09/25/2023,0.83846153846154
10/02/2023,0.83846153846154
10/09/2023,0.83846153846154
10/16/2023,0.83846153846154
10/23/2023,0.83846153846154
10/30/2023,0.83846153846154
11/06/2023,0.83846153846154
11/13/2023,0.83846153846154
11/20/2023,0.83846153846154
11/27/2023,0.83846153846154
12/04/2023,0.83846153846154
12/11/2023,0.83846153846154
12/18/2023,0.83846153846154
12/25/2023,0.83846153846154
01/01/2024,0.99230769230769
01/08/2024,0.99230769230769
01/15/2024,0.99230769230769
01/22/2024,0.99230769230769
01/29/2024,0.99230769230769
02/05/2024,0.99230769230769
02/12/2024,0.99230769230769
02/19/2024,0.99230769230769
02/26/2024,0.99230769230769
03/04/2024,0.99230769230769
03/11/2024,0.99230769230769
03/18/2024,0.99230769230769
03/25/2024,0.99230769230769
04/01/2024,1.13846153846154
04/08/2024,1.13846153846154
04/15/2024,1.13846153846154
04/22/2024,1.13846153846154
04/29/2024,1.13846153846154
05/06/2024,1.13846153846154
05/13/2024,1.13846153846154
05/20/2024,1.13846153846154
05/27/2024,1.13846153846154
06/03/2024,1.13846153846154
06/10/2024,1.13846153846154
06/17/2024,1.13846153846154
06/24/2024,1.13846153846154
07/01/2024,1.10714285714286
07/08/2024,1.10714285714286
07/15/2024,1.10714285714286
07/22/2024,1.10714285714286
07/29/2024,1.10714285714286
08/05/2024,1.10714285714286
08/12/2024,1.10714285714286
08/19/2024,1.10714285714286
08/26/2024,1.10714285714286
09/02/2024,1.10714285714286
09/09/2024,1.10714285714286
09/16/2024,1.10714285714286
09/23/2024,1.10714285714286
09/30/2024,1.10714285714286
10/07/2024,1.06923076923077
10/14/2024,1.06923076923077
10/21/2024,1.06923076923077
10/28/2024,1.06923076923077
11/04/2024,1.06923076923077
11/11/2024,1.06923076923077
11/18/2024,1.06923076923077
11/25/2024,1.06923076923077
12/02/2024,1.06923076923077
12/09/2024,1.06923076923077
12/16/2024,1.06923076923077
12/23/2024,1.06923076923077
12/30/2024,1.06923076923077