,Petrol End User Price
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,USD/l
Source,Organisation for Economic Co-operation and Development
Status,Active
Series ID,496824487
SR Code,SR174158067
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/27/2021
Last Update Time,31/01/2024
Series remarks,
Suggestions,
Mean,0.07520958083832345
Variance,0.00029363455132118676
Standard Deviation,0.01713576818590829
Skewness,-0.07944054426608456
Kurtosis,-1.0484190698761984
Coefficient Variation,0.22784022986040453
Min,0.046538461538461535
Max,0.1075
Median,0.07461538461538461
Sum,
Subtract,
No. of Obs,1670
01/01/1990,0.09566037735849
01/08/1990,0.09566037735849
01/15/1990,0.09566037735849
01/22/1990,0.09566037735849
01/29/1990,0.09566037735849
02/05/1990,0.09566037735849
02/12/1990,0.09566037735849
02/19/1990,0.09566037735849
02/26/1990,0.09566037735849
03/05/1990,0.09566037735849
03/12/1990,0.09566037735849
03/19/1990,0.09566037735849
03/26/1990,0.09566037735849
04/02/1990,0.09566037735849
04/09/1990,0.09566037735849
04/16/1990,0.09566037735849
04/23/1990,0.09566037735849
04/30/1990,0.09566037735849
05/07/1990,0.09566037735849
05/14/1990,0.09566037735849
05/21/1990,0.09566037735849
05/28/1990,0.09566037735849
06/04/1990,0.09566037735849
06/11/1990,0.09566037735849
06/18/1990,0.09566037735849
06/25/1990,0.09566037735849
07/02/1990,0.09566037735849
07/09/1990,0.09566037735849
07/16/1990,0.09566037735849
07/23/1990,0.09566037735849
07/30/1990,0.09566037735849
08/06/1990,0.09566037735849
08/13/1990,0.09566037735849
08/20/1990,0.09566037735849
08/27/1990,0.09566037735849
09/03/1990,0.09566037735849
09/10/1990,0.09566037735849
09/17/1990,0.09566037735849
09/24/1990,0.09566037735849
10/01/1990,0.09566037735849
10/08/1990,0.09566037735849
10/15/1990,0.09566037735849
10/22/1990,0.09566037735849
10/29/1990,0.09566037735849
11/05/1990,0.09566037735849
11/12/1990,0.09566037735849
11/19/1990,0.09566037735849
11/26/1990,0.09566037735849
12/03/1990,0.09566037735849
12/10/1990,0.09566037735849
12/17/1990,0.09566037735849
12/24/1990,0.09566037735849
12/31/1990,0.09566037735849
01/07/1991,0.1075
01/14/1991,0.1075
01/21/1991,0.1075
01/28/1991,0.1075
02/04/1991,0.1075
02/11/1991,0.1075
02/18/1991,0.1075
02/25/1991,0.1075
03/04/1991,0.1075
03/11/1991,0.1075
03/18/1991,0.1075
03/25/1991,0.1075
04/01/1991,0.1075
04/08/1991,0.1075
04/15/1991,0.1075
04/22/1991,0.1075
04/29/1991,0.1075
05/06/1991,0.1075
05/13/1991,0.1075
05/20/1991,0.1075
05/27/1991,0.1075
06/03/1991,0.1075
06/10/1991,0.1075
06/17/1991,0.1075
06/24/1991,0.1075
07/01/1991,0.1075
07/08/1991,0.1075
07/15/1991,0.1075
07/22/1991,0.1075
07/29/1991,0.1075
08/05/1991,0.1075
08/12/1991,0.1075
08/19/1991,0.1075
08/26/1991,0.1075
09/02/1991,0.1075
09/09/1991,0.1075
09/16/1991,0.1075
09/23/1991,0.1075
09/30/1991,0.1075
10/07/1991,0.1075
10/14/1991,0.1075
10/21/1991,0.1075
10/28/1991,0.1075
11/04/1991,0.1075
11/11/1991,0.1075
11/18/1991,0.1075
11/25/1991,0.1075
12/02/1991,0.1075
12/09/1991,0.1075
12/16/1991,0.1075
12/23/1991,0.1075
12/30/1991,0.1075
01/06/1992,0.1
01/13/1992,0.1
01/20/1992,0.1
01/27/1992,0.1
02/03/1992,0.1
02/10/1992,0.1
02/17/1992,0.1
02/24/1992,0.1
03/02/1992,0.1
03/09/1992,0.1
03/16/1992,0.1
03/23/1992,0.1
03/30/1992,0.1
04/06/1992,0.1
04/13/1992,0.1
04/20/1992,0.1
04/27/1992,0.1
05/04/1992,0.1
05/11/1992,0.1
05/18/1992,0.1
05/25/1992,0.1
06/01/1992,0.1
06/08/1992,0.1
06/15/1992,0.1
06/22/1992,0.1
06/29/1992,0.1
07/06/1992,0.1
07/13/1992,0.1
07/20/1992,0.1
07/27/1992,0.1
08/03/1992,0.1
08/10/1992,0.1
08/17/1992,0.1
08/24/1992,0.1
08/31/1992,0.1
09/07/1992,0.1
09/14/1992,0.1
09/21/1992,0.1
09/28/1992,0.1
10/05/1992,0.1
10/12/1992,0.1
10/19/1992,0.1
10/26/1992,0.1
11/02/1992,0.1
11/09/1992,0.1
11/16/1992,0.1
11/23/1992,0.1
11/30/1992,0.1
12/07/1992,0.1
12/14/1992,0.1
12/21/1992,0.1
12/28/1992,0.1
01/04/1993,0.09596153846154
01/11/1993,0.09596153846154
01/18/1993,0.09596153846154
01/25/1993,0.09596153846154
02/01/1993,0.09596153846154
02/08/1993,0.09596153846154
02/15/1993,0.09596153846154
02/22/1993,0.09596153846154
03/01/1993,0.09596153846154
03/08/1993,0.09596153846154
03/15/1993,0.09596153846154
03/22/1993,0.09596153846154
03/29/1993,0.09596153846154
04/05/1993,0.09596153846154
04/12/1993,0.09596153846154
04/19/1993,0.09596153846154
04/26/1993,0.09596153846154
05/03/1993,0.09596153846154
05/10/1993,0.09596153846154
05/17/1993,0.09596153846154
05/24/1993,0.09596153846154
05/31/1993,0.09596153846154
06/07/1993,0.09596153846154
06/14/1993,0.09596153846154
06/21/1993,0.09596153846154
06/28/1993,0.09596153846154
07/05/1993,0.09596153846154
07/12/1993,0.09596153846154
07/19/1993,0.09596153846154
07/26/1993,0.09596153846154
08/02/1993,0.09596153846154
08/09/1993,0.09596153846154
08/16/1993,0.09596153846154
08/23/1993,0.09596153846154
08/30/1993,0.09596153846154
09/06/1993,0.09596153846154
09/13/1993,0.09596153846154
09/20/1993,0.09596153846154
09/27/1993,0.09596153846154
10/04/1993,0.09596153846154
10/11/1993,0.09596153846154
10/18/1993,0.09596153846154
10/25/1993,0.09596153846154
11/01/1993,0.09596153846154
11/08/1993,0.09596153846154
11/15/1993,0.09596153846154
11/22/1993,0.09596153846154
11/29/1993,0.09596153846154
12/06/1993,0.09596153846154
12/13/1993,0.09596153846154
12/20/1993,0.09596153846154
12/27/1993,0.09596153846154
01/03/1994,0.09230769230769
01/10/1994,0.09230769230769
01/17/1994,0.09230769230769
01/24/1994,0.09230769230769
01/31/1994,0.09230769230769
02/07/1994,0.09230769230769
02/14/1994,0.09230769230769
02/21/1994,0.09230769230769
02/28/1994,0.09230769230769
03/07/1994,0.09230769230769
03/14/1994,0.09230769230769
03/21/1994,0.09230769230769
03/28/1994,0.09230769230769
04/04/1994,0.09230769230769
04/11/1994,0.09230769230769
04/18/1994,0.09230769230769
04/25/1994,0.09230769230769
05/02/1994,0.09230769230769
05/09/1994,0.09230769230769
05/16/1994,0.09230769230769
05/23/1994,0.09230769230769
05/30/1994,0.09230769230769
06/06/1994,0.09230769230769
06/13/1994,0.09230769230769
06/20/1994,0.09230769230769
06/27/1994,0.09230769230769
07/04/1994,0.09230769230769
07/11/1994,0.09230769230769
07/18/1994,0.09230769230769
07/25/1994,0.09230769230769
08/01/1994,0.09230769230769
08/08/1994,0.09230769230769
08/15/1994,0.09230769230769
08/22/1994,0.09230769230769
08/29/1994,0.09230769230769
09/05/1994,0.09230769230769
09/12/1994,0.09230769230769
09/19/1994,0.09230769230769
09/26/1994,0.09230769230769
10/03/1994,0.09230769230769
10/10/1994,0.09230769230769
10/17/1994,0.09230769230769
10/24/1994,0.09230769230769
10/31/1994,0.09230769230769
11/07/1994,0.09230769230769
11/14/1994,0.09230769230769
11/21/1994,0.09230769230769
11/28/1994,0.09230769230769
12/05/1994,0.09230769230769
12/12/1994,0.09230769230769
12/19/1994,0.09230769230769
12/26/1994,0.09230769230769
01/02/1995,0.09692307692308
01/09/1995,0.09692307692308
01/16/1995,0.09692307692308
01/23/1995,0.09692307692308
01/30/1995,0.09692307692308
02/06/1995,0.09692307692308
02/13/1995,0.09692307692308
02/20/1995,0.09692307692308
02/27/1995,0.09692307692308
03/06/1995,0.09692307692308
03/13/1995,0.09692307692308
03/20/1995,0.09692307692308
03/27/1995,0.09692307692308
04/03/1995,0.09692307692308
04/10/1995,0.09692307692308
04/17/1995,0.09692307692308
04/24/1995,0.09692307692308
05/01/1995,0.09692307692308
05/08/1995,0.09692307692308
05/15/1995,0.09692307692308
05/22/1995,0.09692307692308
05/29/1995,0.09692307692308
06/05/1995,0.09692307692308
06/12/1995,0.09692307692308
06/19/1995,0.09692307692308
06/26/1995,0.09692307692308
07/03/1995,0.09692307692308
07/10/1995,0.09692307692308
07/17/1995,0.09692307692308
07/24/1995,0.09692307692308
07/31/1995,0.09692307692308
08/07/1995,0.09692307692308
08/14/1995,0.09692307692308
08/21/1995,0.09692307692308
08/28/1995,0.09692307692308
09/04/1995,0.09692307692308
09/11/1995,0.09692307692308
09/18/1995,0.09692307692308
09/25/1995,0.09692307692308
10/02/1995,0.09692307692308
10/09/1995,0.09692307692308
10/16/1995,0.09692307692308
10/23/1995,0.09692307692308
10/30/1995,0.09692307692308
11/06/1995,0.09692307692308
11/13/1995,0.09692307692308
11/20/1995,0.09692307692308
11/27/1995,0.09692307692308
12/04/1995,0.09692307692308
12/11/1995,0.09692307692308
12/18/1995,0.09692307692308
12/25/1995,0.09692307692308
01/01/1996,0.08867924528302
01/08/1996,0.08867924528302
01/15/1996,0.08867924528302
01/22/1996,0.08867924528302
01/29/1996,0.08867924528302
02/05/1996,0.08867924528302
02/12/1996,0.08867924528302
02/19/1996,0.08867924528302
02/26/1996,0.08867924528302
03/04/1996,0.08867924528302
03/11/1996,0.08867924528302
03/18/1996,0.08867924528302
03/25/1996,0.08867924528302
04/01/1996,0.08867924528302
04/08/1996,0.08867924528302
04/15/1996,0.08867924528302
04/22/1996,0.08867924528302
04/29/1996,0.08867924528302
05/06/1996,0.08867924528302
05/13/1996,0.08867924528302
05/20/1996,0.08867924528302
05/27/1996,0.08867924528302
06/03/1996,0.08867924528302
06/10/1996,0.08867924528302
06/17/1996,0.08867924528302
06/24/1996,0.08867924528302
07/01/1996,0.08867924528302
07/08/1996,0.08867924528302
07/15/1996,0.08867924528302
07/22/1996,0.08867924528302
07/29/1996,0.08867924528302
08/05/1996,0.08867924528302
08/12/1996,0.08867924528302
08/19/1996,0.08867924528302
08/26/1996,0.08867924528302
09/02/1996,0.08867924528302
09/09/1996,0.08867924528302
09/16/1996,0.08867924528302
09/23/1996,0.08867924528302
09/30/1996,0.08867924528302
10/07/1996,0.08867924528302
10/14/1996,0.08867924528302
10/21/1996,0.08867924528302
10/28/1996,0.08867924528302
11/04/1996,0.08867924528302
11/11/1996,0.08867924528302
11/18/1996,0.08867924528302
11/25/1996,0.08867924528302
12/02/1996,0.08867924528302
12/09/1996,0.08867924528302
12/16/1996,0.08867924528302
12/23/1996,0.08867924528302
12/30/1996,0.08867924528302
01/06/1997,0.09788461538462
01/13/1997,0.09788461538462
01/20/1997,0.09788461538462
01/27/1997,0.09788461538462
02/03/1997,0.09788461538462
02/10/1997,0.09788461538462
02/17/1997,0.09788461538462
02/24/1997,0.09788461538462
03/03/1997,0.09788461538462
03/10/1997,0.09788461538462
03/17/1997,0.09788461538462
03/24/1997,0.09788461538462
03/31/1997,0.09788461538462
04/07/1997,0.09788461538462
04/14/1997,0.09788461538462
04/21/1997,0.09788461538462
04/28/1997,0.09788461538462
05/05/1997,0.09788461538462
05/12/1997,0.09788461538462
05/19/1997,0.09788461538462
05/26/1997,0.09788461538462
06/02/1997,0.09788461538462
06/09/1997,0.09788461538462
06/16/1997,0.09788461538462
06/23/1997,0.09788461538462
06/30/1997,0.09788461538462
07/07/1997,0.09788461538462
07/14/1997,0.09788461538462
07/21/1997,0.09788461538462
07/28/1997,0.09788461538462
08/04/1997,0.09788461538462
08/11/1997,0.09788461538462
08/18/1997,0.09788461538462
08/25/1997,0.09788461538462
09/01/1997,0.09788461538462
09/08/1997,0.09788461538462
09/15/1997,0.09788461538462
09/22/1997,0.09788461538462
09/29/1997,0.09788461538462
10/06/1997,0.09788461538462
10/13/1997,0.09788461538462
10/20/1997,0.09788461538462
10/27/1997,0.09788461538462
11/03/1997,0.09788461538462
11/10/1997,0.09788461538462
11/17/1997,0.09788461538462
11/24/1997,0.09788461538462
12/01/1997,0.09788461538462
12/08/1997,0.09788461538462
12/15/1997,0.09788461538462
12/22/1997,0.09788461538462
12/29/1997,0.09788461538462
01/05/1998,0.08942307692308
01/12/1998,0.08942307692308
01/19/1998,0.08942307692308
01/26/1998,0.08942307692308
02/02/1998,0.08942307692308
02/09/1998,0.08942307692308
02/16/1998,0.08942307692308
02/23/1998,0.08942307692308
03/02/1998,0.08942307692308
03/09/1998,0.08942307692308
03/16/1998,0.08942307692308
03/23/1998,0.08942307692308
03/30/1998,0.08942307692308
04/06/1998,0.08942307692308
04/13/1998,0.08942307692308
04/20/1998,0.08942307692308
04/27/1998,0.08942307692308
05/04/1998,0.08942307692308
05/11/1998,0.08942307692308
05/18/1998,0.08942307692308
05/25/1998,0.08942307692308
06/01/1998,0.08942307692308
06/08/1998,0.08942307692308
06/15/1998,0.08942307692308
06/22/1998,0.08942307692308
06/29/1998,0.08942307692308
07/06/1998,0.08942307692308
07/13/1998,0.08942307692308
07/20/1998,0.08942307692308
07/27/1998,0.08942307692308
08/03/1998,0.08942307692308
08/10/1998,0.08942307692308
08/17/1998,0.08942307692308
08/24/1998,0.08942307692308
08/31/1998,0.08942307692308
09/07/1998,0.08942307692308
09/14/1998,0.08942307692308
09/21/1998,0.08942307692308
09/28/1998,0.08942307692308
10/05/1998,0.08942307692308
10/12/1998,0.08942307692308
10/19/1998,0.08942307692308
10/26/1998,0.08942307692308
11/02/1998,0.08942307692308
11/09/1998,0.08942307692308
11/16/1998,0.08942307692308
11/23/1998,0.08942307692308
11/30/1998,0.08942307692308
12/07/1998,0.08942307692308
12/14/1998,0.08942307692308
12/21/1998,0.08942307692308
12/28/1998,0.08942307692308
01/04/1999,0.08442307692308
01/11/1999,0.08442307692308
01/18/1999,0.08442307692308
01/25/1999,0.08442307692308
02/01/1999,0.08442307692308
02/08/1999,0.08442307692308
02/15/1999,0.08442307692308
02/22/1999,0.08442307692308
03/01/1999,0.08442307692308
03/08/1999,0.08442307692308
03/15/1999,0.08442307692308
03/22/1999,0.08442307692308
03/29/1999,0.08442307692308
04/05/1999,0.08442307692308
04/12/1999,0.08442307692308
04/19/1999,0.08442307692308
04/26/1999,0.08442307692308
05/03/1999,0.08442307692308
05/10/1999,0.08442307692308
05/17/1999,0.08442307692308
05/24/1999,0.08442307692308
05/31/1999,0.08442307692308
06/07/1999,0.08442307692308
06/14/1999,0.08442307692308
06/21/1999,0.08442307692308
06/28/1999,0.08442307692308
07/05/1999,0.08442307692308
07/12/1999,0.08442307692308
07/19/1999,0.08442307692308
07/26/1999,0.08442307692308
08/02/1999,0.08442307692308
08/09/1999,0.08442307692308
08/16/1999,0.08442307692308
08/23/1999,0.08442307692308
08/30/1999,0.08442307692308
09/06/1999,0.08442307692308
09/13/1999,0.08442307692308
09/20/1999,0.08442307692308
09/27/1999,0.08442307692308
10/04/1999,0.08442307692308
10/11/1999,0.08442307692308
10/18/1999,0.08442307692308
10/25/1999,0.08442307692308
11/01/1999,0.08442307692308
11/08/1999,0.08442307692308
11/15/1999,0.08442307692308
11/22/1999,0.08442307692308
11/29/1999,0.08442307692308
12/06/1999,0.08442307692308
12/13/1999,0.08442307692308
12/20/1999,0.08442307692308
12/27/1999,0.08442307692308
01/03/2000,0.07884615384615
01/10/2000,0.07884615384615
01/17/2000,0.07884615384615
01/24/2000,0.07884615384615
01/31/2000,0.07884615384615
02/07/2000,0.07884615384615
02/14/2000,0.07884615384615
02/21/2000,0.07884615384615
02/28/2000,0.07884615384615
03/06/2000,0.07884615384615
03/13/2000,0.07884615384615
03/20/2000,0.07884615384615
03/27/2000,0.07884615384615
04/03/2000,0.07884615384615
04/10/2000,0.07884615384615
04/17/2000,0.07884615384615
04/24/2000,0.07884615384615
05/01/2000,0.07884615384615
05/08/2000,0.07884615384615
05/15/2000,0.07884615384615
05/22/2000,0.07884615384615
05/29/2000,0.07884615384615
06/05/2000,0.07884615384615
06/12/2000,0.07884615384615
06/19/2000,0.07884615384615
06/26/2000,0.07884615384615
07/03/2000,0.07884615384615
07/10/2000,0.07884615384615
07/17/2000,0.07884615384615
07/24/2000,0.07884615384615
07/31/2000,0.07884615384615
08/07/2000,0.07884615384615
08/14/2000,0.07884615384615
08/21/2000,0.07884615384615
08/28/2000,0.07884615384615
09/04/2000,0.07884615384615
09/11/2000,0.07884615384615
09/18/2000,0.07884615384615
09/25/2000,0.07884615384615
10/02/2000,0.07884615384615
10/09/2000,0.07884615384615
10/16/2000,0.07884615384615
10/23/2000,0.07884615384615
10/30/2000,0.07884615384615
11/06/2000,0.07884615384615
11/13/2000,0.07884615384615
11/20/2000,0.07884615384615
11/27/2000,0.07884615384615
12/04/2000,0.07884615384615
12/11/2000,0.07884615384615
12/18/2000,0.07884615384615
12/25/2000,0.07884615384615
01/01/2001,0.06792452830189
01/08/2001,0.06792452830189
01/15/2001,0.06792452830189
01/22/2001,0.06792452830189
01/29/2001,0.06792452830189
02/05/2001,0.06792452830189
02/12/2001,0.06792452830189
02/19/2001,0.06792452830189
02/26/2001,0.06792452830189
03/05/2001,0.06792452830189
03/12/2001,0.06792452830189
03/19/2001,0.06792452830189
03/26/2001,0.06792452830189
04/02/2001,0.06792452830189
04/09/2001,0.06792452830189
04/16/2001,0.06792452830189
04/23/2001,0.06792452830189
04/30/2001,0.06792452830189
05/07/2001,0.06792452830189
05/14/2001,0.06792452830189
05/21/2001,0.06792452830189
05/28/2001,0.06792452830189
06/04/2001,0.06792452830189
06/11/2001,0.06792452830189
06/18/2001,0.06792452830189
06/25/2001,0.06792452830189
07/02/2001,0.06792452830189
07/09/2001,0.06792452830189
07/16/2001,0.06792452830189
07/23/2001,0.06792452830189
07/30/2001,0.06792452830189
08/06/2001,0.06792452830189
08/13/2001,0.06792452830189
08/20/2001,0.06792452830189
08/27/2001,0.06792452830189
09/03/2001,0.06792452830189
09/10/2001,0.06792452830189
09/17/2001,0.06792452830189
09/24/2001,0.06792452830189
10/01/2001,0.06792452830189
10/08/2001,0.06792452830189
10/15/2001,0.06792452830189
10/22/2001,0.06792452830189
10/29/2001,0.06792452830189
11/05/2001,0.06792452830189
11/12/2001,0.06792452830189
11/19/2001,0.06792452830189
11/26/2001,0.06792452830189
12/03/2001,0.06792452830189
12/10/2001,0.06792452830189
12/17/2001,0.06792452830189
12/24/2001,0.06792452830189
12/31/2001,0.06792452830189
01/07/2002,0.06307692307692
01/14/2002,0.06307692307692
01/21/2002,0.06307692307692
01/28/2002,0.06307692307692
02/04/2002,0.06307692307692
02/11/2002,0.06307692307692
02/18/2002,0.06307692307692
02/25/2002,0.06307692307692
03/04/2002,0.06307692307692
03/11/2002,0.06307692307692
03/18/2002,0.06307692307692
03/25/2002,0.06307692307692
04/01/2002,0.06307692307692
04/08/2002,0.06307692307692
04/15/2002,0.06307692307692
04/22/2002,0.06307692307692
04/29/2002,0.06307692307692
05/06/2002,0.06307692307692
05/13/2002,0.06307692307692
05/20/2002,0.06307692307692
05/27/2002,0.06307692307692
06/03/2002,0.06307692307692
06/10/2002,0.06307692307692
06/17/2002,0.06307692307692
06/24/2002,0.06307692307692
07/01/2002,0.06307692307692
07/08/2002,0.06307692307692
07/15/2002,0.06307692307692
07/22/2002,0.06307692307692
07/29/2002,0.06307692307692
08/05/2002,0.06307692307692
08/12/2002,0.06307692307692
08/19/2002,0.06307692307692
08/26/2002,0.06307692307692
09/02/2002,0.06307692307692
09/09/2002,0.06307692307692
09/16/2002,0.06307692307692
09/23/2002,0.06307692307692
09/30/2002,0.06307692307692
10/07/2002,0.06307692307692
10/14/2002,0.06307692307692
10/21/2002,0.06307692307692
10/28/2002,0.06307692307692
11/04/2002,0.06307692307692
11/11/2002,0.06307692307692
11/18/2002,0.06307692307692
11/25/2002,0.06307692307692
12/02/2002,0.06307692307692
12/09/2002,0.06307692307692
12/16/2002,0.06307692307692
12/23/2002,0.06307692307692
12/30/2002,0.06307692307692
01/06/2003,0.06173076923077
01/13/2003,0.06173076923077
01/20/2003,0.06173076923077
01/27/2003,0.06173076923077
02/03/2003,0.06173076923077
02/10/2003,0.06173076923077
02/17/2003,0.06173076923077
02/24/2003,0.06173076923077
03/03/2003,0.06173076923077
03/10/2003,0.06173076923077
03/17/2003,0.06173076923077
03/24/2003,0.06173076923077
03/31/2003,0.06173076923077
04/07/2003,0.06173076923077
04/14/2003,0.06173076923077
04/21/2003,0.06173076923077
04/28/2003,0.06173076923077
05/05/2003,0.06173076923077
05/12/2003,0.06173076923077
05/19/2003,0.06173076923077
05/26/2003,0.06173076923077
06/02/2003,0.06173076923077
06/09/2003,0.06173076923077
06/16/2003,0.06173076923077
06/23/2003,0.06173076923077
06/30/2003,0.06173076923077
07/07/2003,0.06173076923077
07/14/2003,0.06173076923077
07/21/2003,0.06173076923077
07/28/2003,0.06173076923077
08/04/2003,0.06173076923077
08/11/2003,0.06173076923077
08/18/2003,0.06173076923077
08/25/2003,0.06173076923077
09/01/2003,0.06173076923077
09/08/2003,0.06173076923077
09/15/2003,0.06173076923077
09/22/2003,0.06173076923077
09/29/2003,0.06173076923077
10/06/2003,0.06173076923077
10/13/2003,0.06173076923077
10/20/2003,0.06173076923077
10/27/2003,0.06173076923077
11/03/2003,0.06173076923077
11/10/2003,0.06173076923077
11/17/2003,0.06173076923077
11/24/2003,0.06173076923077
12/01/2003,0.06173076923077
12/08/2003,0.06173076923077
12/15/2003,0.06173076923077
12/22/2003,0.06173076923077
12/29/2003,0.06173076923077
01/05/2004,0.06807692307692
01/12/2004,0.06807692307692
01/19/2004,0.06807692307692
01/26/2004,0.06807692307692
02/02/2004,0.06807692307692
02/09/2004,0.06807692307692
02/16/2004,0.06807692307692
02/23/2004,0.06807692307692
03/01/2004,0.06807692307692
03/08/2004,0.06807692307692
03/15/2004,0.06807692307692
03/22/2004,0.06807692307692
03/29/2004,0.06807692307692
04/05/2004,0.06807692307692
04/12/2004,0.06807692307692
04/19/2004,0.06807692307692
04/26/2004,0.06807692307692
05/03/2004,0.06807692307692
05/10/2004,0.06807692307692
05/17/2004,0.06807692307692
05/24/2004,0.06807692307692
05/31/2004,0.06807692307692
06/07/2004,0.06807692307692
06/14/2004,0.06807692307692
06/21/2004,0.06807692307692
06/28/2004,0.06807692307692
07/05/2004,0.06807692307692
07/12/2004,0.06807692307692
07/19/2004,0.06807692307692
07/26/2004,0.06807692307692
08/02/2004,0.06807692307692
08/09/2004,0.06807692307692
08/16/2004,0.06807692307692
08/23/2004,0.06807692307692
08/30/2004,0.06807692307692
09/06/2004,0.06807692307692
09/13/2004,0.06807692307692
09/20/2004,0.06807692307692
09/27/2004,0.06807692307692
10/04/2004,0.06807692307692
10/11/2004,0.06807692307692
10/18/2004,0.06807692307692
10/25/2004,0.06807692307692
11/01/2004,0.06807692307692
11/08/2004,0.06807692307692
11/15/2004,0.06807692307692
11/22/2004,0.06807692307692
11/29/2004,0.06807692307692
12/06/2004,0.06807692307692
12/13/2004,0.06807692307692
12/20/2004,0.06807692307692
12/27/2004,0.06807692307692
01/03/2005,0.07461538461538
01/10/2005,0.07461538461538
01/17/2005,0.07461538461538
01/24/2005,0.07461538461538
01/31/2005,0.07461538461538
02/07/2005,0.07461538461538
02/14/2005,0.07461538461538
02/21/2005,0.07461538461538
02/28/2005,0.07461538461538
03/07/2005,0.07461538461538
03/14/2005,0.07461538461538
03/21/2005,0.07461538461538
03/28/2005,0.07461538461538
04/04/2005,0.07461538461538
04/11/2005,0.07461538461538
04/18/2005,0.07461538461538
04/25/2005,0.07461538461538
05/02/2005,0.07461538461538
05/09/2005,0.07461538461538
05/16/2005,0.07461538461538
05/23/2005,0.07461538461538
05/30/2005,0.07461538461538
06/06/2005,0.07461538461538
06/13/2005,0.07461538461538
06/20/2005,0.07461538461538
06/27/2005,0.07461538461538
07/04/2005,0.07461538461538
07/11/2005,0.07461538461538
07/18/2005,0.07461538461538
07/25/2005,0.07461538461538
08/01/2005,0.07461538461538
08/08/2005,0.07461538461538
08/15/2005,0.07461538461538
08/22/2005,0.07461538461538
08/29/2005,0.07461538461538
09/05/2005,0.07461538461538
09/12/2005,0.07461538461538
09/19/2005,0.07461538461538
09/26/2005,0.07461538461538
10/03/2005,0.07461538461538
10/10/2005,0.07461538461538
10/17/2005,0.07461538461538
10/24/2005,0.07461538461538
10/31/2005,0.07461538461538
11/07/2005,0.07461538461538
11/14/2005,0.07461538461538
11/21/2005,0.07461538461538
11/28/2005,0.07461538461538
12/05/2005,0.07461538461538
